   i    j      cc  nref
   0    1  0.9731 8111
   0    2  0.9910 15384
   0    3  0.9823 8143
   0    4  0.9818 12744
   0    5  0.9870 12695
   0    6  0.9863 12759
   0    7  0.9937 12706
   0    8  0.9627 8267
   0    9  0.9831 2327
   0   10  0.8086 2289
   0   11  0.9919 8341
   0   12  0.9119 13154
   0   13  0.9808 13142
   0   14  0.8098 6518
   0   15  0.9760 9195
   0   16  0.9140 11593
   0   17  0.9847 9233
   0   18  0.9385 11380
   0   19  0.7107 12104
   0   20  0.9626 9554
   0   21  0.6534 9725
   0   22  0.9730 12009
   0   23  0.9914 12025
   0   24  0.9914 11826
   0   25  0.9853 12081
   0   26  0.9657 11783
   0   27  0.9907 7710
   0   28  0.9659 8861
   0   29  0.9916 7750
   0   30  0.9817 8821
   0   31  0.8157 3126
   0   32  0.9776 7889
   0   33  0.9583 7874
   0   34  0.9699 3115
   0   35  0.9738 4536
   0   36  0.9775 14866
   0   37  0.9698 4452
   0   38  0.9801 14882
   0   39  0.9819 11091
   0   40  0.9660 4430
   0   41  0.9839 11067
   0   42  0.9868 4414
   0   43  0.9315 11432
   0   44  0.9905 13503
   0   45  0.9513 13520
   0   46  0.9880 11323
   0   47  0.9669 8383
   0   48  0.9341 7055
   0   49  0.9571 8525
   0   50  0.9661 3593
   0   51  0.9734 12423
   0   52  0.9335 3648
   0   53  0.9691 12260
   0   54  0.9425 15023
   0   55  0.9569 13636
   0   56  0.9685 15096
   0   57  0.9670 6334
   0   58  0.9575 9217
   0   59  0.9629 12996
   0   60  0.9727 12534
   0   61  0.7794 12749
   0   62  0.8885 13979
   0   63  0.9662 14284
   0   64  0.9781 11856
   0   65  0.9739 14245
   0   66  0.9716 9333
   0   67  0.9092 9187
   0   68  0.8873 4804
   0   69  0.6905 6428
   0   70  0.9727 5747
   0   71  0.9694 10120
   0   72  0.9683 6076
   0   73  0.9749 10195
   0   74  0.9742 6165
   0   75  0.9763 4787
   0   76  0.9173 14534
   0   77  0.9269 5013
