   i    j      cc  nref
   3   55  0.5229  687
   3   56  0.6829 3798
   3   57  0.5222  709
   3   58  0.5993 3792
   3   59  0.5354 2206
   3   60  0.5281 2182
   3   61  0.5638 2204
   3   62  0.5753 2175
   3   63  0.5883 3304
   3   64  0.7072 3170
   3   65  0.6528 3120
   3   66  0.6860 3353
   4    5  0.9526 1241
   4    6  0.9808 3672
   4    7  0.9216 2922
   4    8  0.9708 1161
   4    9  0.9667 1134
   4   10  0.9706 3005
   4   11  0.4310  735
   4   12  0.6267 3396
   4   13  0.3181 2244
   4   14  0.6146 3165
   4   15  0.4042 2318
   4   16  0.3730 1410
   4   17  0.6067  674
   4   18  0.5713  730
   4   19  0.5446 1389
   4   20  0.9514 1086
   4   21  0.9192 1883
   4   22  0.9676 1088
   4   23  0.8599 1876
   4   24  0.8865 1779
   4   25  0.9304 2055
   4   26  0.9458 1789
   4   27  0.9263 2025
   4   28  0.9066 2072
   4   29  0.9460 1213
   4   30  0.8273 1202
   4   31  0.8997 2061
   4   32  0.3161 1825
   4   33  0.5022 2063
   4   34  0.5920 1874
   4   35  0.5933 2032
   4   36  0.4095 1001
   4   37  0.5219 2042
   4   38  0.5945 1011
   4   39  0.3587 2081
   4   40  0.5419 1258
   4   41  0.4075 2210
   4   42  0.6351 2141
   4   43  0.7948 3044
   4   44  0.9062  895
   4   45  0.9088 3042
   4   46  0.6795  888
   4   47  0.7263 1574
   4   48  0.7639 3173
   4   49  0.8806 1607
   4   50  0.8235 3159
   4   51  0.6836 2764
   4   52  0.8748 1100
   4   53  0.5550 1151
   4   54  0.8454 2781
   4   55  0.6417 3676
   4   56  0.5441 1253
   4   57  0.6429 3690
   4   58  0.5055 1279
   4   59  0.5534 2824
   4   60  0.6143 2819
   4   61  0.6036 2780
   4   62  0.6313 2911
   4   63  0.5416 1355
   4   64  0.6470  826
   4   65  0.5376  820
   4   66  0.6359 1336
   5    6  0.9735 1189
   5    7  0.8853 3671
   5    8  0.9661 5207
   5    9  0.9761 5142
   5   10  0.9745 3739
   5   11  0.4285 4168
   5   12  0.6250 1419
   5   13  0.3782 3793
   5   14  0.5699 3155
   5   15  0.4072 3906
   5   16  0.5233 4970
   5   17  0.6595 3435
   5   18  0.6491 3651
   5   19  0.6686 5017
   5   20  0.9025 2802
   5   21  0.9292 4043
   5   22  0.9484 2767
   5   23  0.8897 4027
   5   24  0.8849 3913
   5   25  0.9455 4842
   5   26  0.9417 3946
   5   27  0.9290 4768
   5   28  0.9304 4182
   5   29  0.9613 2642
   5   30  0.8407 2583
   5   31  0.9334 4168
   5   32  0.5340 4039
   5   33  0.6157 4422
   5   34  0.6969 4116
   5   35  0.6363 4449
   5   36  0.6407 2354
   5   37  0.6141 4532
   5   38  0.6498 2470
   5   39  0.4429 4481
   5   40  0.5926 3101
   5   41  0.4441 4681
   5   42  0.6279 4589
   5   43  0.7584 3488
   5   44  0.8975 3044
   5   45  0.9082 3567
   5   46  0.7182 2988
   5   47  0.7715 4981
   5   48  0.6851 1895
   5   49  0.8680 5086
   5   50  0.7642 1811
   5   51  0.6169 3779
   5   52  0.8674 4410
   5   53  0.6511 4395
   5   54  0.8392 3801
   5   55  0.5243 1319
   5   56  0.6772 5499
   5   57  0.5310 1365
   5   58  0.5703 5518
   5   59  0.5829 3958
   5   60  0.5713 3814
   5   61  0.6083 3978
   5   62  0.6106 3851
   5   63  0.5583 5091
   5   64  0.6972 3974
   5   65  0.6292 3947
   5   66  0.6806 5111
   6    7  0.9409 2853
   6    8  0.9950 1098
   6    9  0.9763 1071
   6   10  0.9969 2926
   6   11  0.4231  688
   6   12  0.5825 3376
   6   13  0.3084 2174
   6   14  0.5854 3089
   6   15  0.3676 2242
   6   16  0.3375 1348
   6   17  0.5659  625
   6   18  0.5200  675
   6   19  0.5121 1326
   6   20  0.9481 1037
   6   21  0.9257 1857
   6   22  0.9745 1040
   6   23  0.8329 1850
   6   24  0.8709 1717
   6   25  0.9197 1995
   6   26  0.9553 1729
   6   27  0.9252 1961
   6   28  0.8812 2051
   6   29  0.9502 1208
   6   30  0.8166 1197
   6   31  0.9015 2037
   6   32  0.3051 1805
   6   33  0.4881 2034
   6   34  0.5895 1849
   6   35  0.5733 2002
   6   36  0.4053  997
   6   37  0.5149 1978
   6   38  0.5964 1007
   6   39  0.3353 2016
   6   40  0.5309 1203
   6   41  0.3824 2144
   6   42  0.6004 2075
   6   43  0.7967 3000
   6   44  0.9115  850
   6   45  0.9087 2994
   6   46  0.6889  847
   6   47  0.7225 1522
   6   48  0.7518 3123
   6   49  0.8992 1555
   6   50  0.8272 3108
   6   51  0.6873 2712
   6   52  0.8790 1044
   6   53  0.5627 1098
   6   54  0.8544 2726
   6   55  0.6298 3622
   6   56  0.5093 1201
   6   57  0.6344 3627
   6   58  0.4938 1219
   6   59  0.5512 2753
   6   60  0.6009 2750
   6   61  0.5916 2708
   6   62  0.6234 2840
   6   63  0.5560 1316
   6   64  0.6432  801
   6   65  0.5229  799
   6   66  0.6380 1299
   7    8  0.8939 3496
   7    9  0.8745 3464
   7   10  0.9226 5758
