AA(alpha,loc,scale)=    -7.36030      0.99520      0.01530
AB(alpha,loc,scale)=    -5.90830      0.98750      0.02670
BB(alpha,loc,scale)= -4122.90000      0.99610      0.01470
AA(mean,std,median)=     0.98292      0.00945      0.98444
AB(mean,std,median)=     0.96644      0.01684      0.96985
BB(mean,std,median)=     0.98455      0.00875      0.98641
