   i    j      cc  nref
   3    6  0.9794 3870
   3    7  0.9771 2175
   3    8  0.9796 1443
   3    9  0.9838 2953
   3   10  0.9970 7837
   3   11  0.9955 3519
   3   12  0.9866 2886
   3   13  0.9778 2722
   3   14  0.9723 7756
   3   15  0.9739 3538
   3   16  0.8926 3539
   3   17  0.9936 5832
   3   18  0.9456 1913
   3   19  0.9814 2403
   3   20  0.9776 1820
   3   21  0.9804 1905
   3   22  0.9769 3013
   3   23  0.9824 4798
   3   24  0.9550 2911
   3   25  0.9715 1925
   3   26  0.9787 3006
   3   27  0.5517 4606
   3   28  0.9135 2272
   3   29  0.9730 1793
   3   30  0.9838 1921
   3   31  0.6836 2944
   3   32  0.9681 4736
   3   33  0.8668 2288
   3   34  0.8209 1456
   3   35  0.9726 4919
   3   36  0.9522 2751
   3   37  0.9711 2088
   3   38  0.9736 2031
   3   39  0.9742 2903
   3   40  0.9829 3841
   3   41  0.9822 5371
   3   42  0.9777 3694
   3   43  0.9876 2091
   3   44  0.9653 3816
   3   45  0.9842 2015
   3   46  0.9824 2908
   3   47  0.9818 3794
   3   48  0.9783 5281
   3   49  0.9509 3591
   3   50  0.9813 2079
   3   51  0.9836 2035
   3   52  0.9790 2879
   3   53  0.9826 3783
   3   54  0.9815 5310
   3   55  0.9725 5247
   3   56  0.9731 3608
   3   57  0.7779 2012
   3   58  0.6759 1812
   3   59  0.9554 3565
   3   60  0.9610 2404
   3   61  0.9627 2030
   3   62  0.9534 1920
   3   63  0.9519 3276
   3   64  0.9672 5221
   3   65  0.9704 4007
   3   66  0.9464 2360
   3   67  0.9439 3253
   3   68  0.9566 1975
   3   69  0.9545 1819
   3   70  0.9504 3228
   3   71  0.9317 5149
   3   72  0.9638 3950
   3   73  0.9468 2245
   3   74  0.9595 1968
   3   75  0.9516 1779
   3   76  0.9378 3077
   3   77  0.9616 5081
   3   78  0.9615 5202
   3   79  0.9147 3909
   3   80  0.9505 2243
   3   81  0.9431 1893
   3   82  0.9633 3998
   4    5  0.9820  856
   4    6  0.9933 3043
   4    7  0.9942  762
   4    8  0.9888  586
   4    9  0.9784  935
   4   10  0.9874 3531
   4   11  0.9975 5778
   4   12  0.9742  916
   4   13  0.9881 1007
   4   14  0.9863 3419
   4   15  0.9796 5733
   4   16  0.9305 2800
   4   17  0.9802 2630
   4   18  0.9712  969
   4   19  0.9907 3974
   4   20  0.9939 1865
   4   21  0.9862  967
   4   22  0.9911 1195
   4   23  0.9888 2071
   4   24  0.9795 1143
   4   25  0.9848  987
   4   26  0.9859 1174
   4   27  0.6596 1923
   4   28  0.9292 3883
   4   29  0.9858 1843
   4   30  0.9879  983
   4   31  0.6737 1149
   4   32  0.9835 2015
   4   33  0.8124 2251
   4   34  0.8085 1406
   4   35  0.9876 4217
   4   36  0.9540 3046
   4   37  0.9765  842
   4   38  0.9790 1101
   4   39  0.9824 3205
   4   40  0.9901 5349
   4   41  0.9838 2426
   4   42  0.9867 1088
   4   43  0.9922  832
   4   44  0.9699 5276
   4   45  0.9859 1080
   4   46  0.9918 3202
   4   47  0.9853 5352
   4   48  0.9566 2366
   4   49  0.9703 1056
   4   50  0.9900  827
   4   51  0.9888 1090
   4   52  0.9892 3209
   4   53  0.9848 5328
   4   54  0.9788 2385
   4   55  0.9737 2359
   4   56  0.9806 1040
   4   57  0.7528  759
   4   58  0.6235  996
